paper_id,spec_no,T_C,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Gamma prime size,L,G,SFE,Misfit,Schmid1_110,MultislipPropensity_110
Lukas et al,Fig2a_CMSX4_5,850,379,2350,45,0,0.5,0.36355,62.358,27.775,-0.673,0.408248,1
Lukas et al,Fig2b_CM186LC_1,850,599,28,54.7356,35.2644,0.4,0.36329,63.262,29.363,-0.715,0.272166,1
Lukas et al,Fig2b_CM186LC_2,850,651,32,54.7356,35.2644,0.4,0.36329,63.262,29.363,-0.715,0.272166,1
Lukas et al,Fig2b_CM186LC_3,850,553,203,54.7356,35.2644,0.4,0.36329,63.262,29.363,-0.715,0.272166,1
Lukas et al,Fig2b_CM186LC_4,850,503,492,54.7356,35.2644,0.4,0.36329,63.262,29.363,-0.715,0.272166,1
Lukas et al,Fig2b_CM186LC_5,850,455,1140,54.7356,35.2644,0.4,0.36329,63.262,29.363,-0.715,0.272166,1
Lukas et al,Fig2b_CM186LC_6,850,405,3097,54.7356,35.2644,0.4,0.36329,63.262,29.363,-0.715,0.272166,1
Lukas et al,Fig2b_CMSX4_1,850,602,54,54.7356,35.2644,0.5,0.36355,62.358,27.775,-0.673,0.272166,1
Lukas et al,Fig2b_CMSX4_2,850,601,73,54.7356,35.2644,0.5,0.36355,62.358,27.775,-0.673,0.272166,1
Lukas et al,Fig2b_CMSX4_3,850,601,82,54.7356,35.2644,0.5,0.36355,62.358,27.775,-0.673,0.272166,1
Lukas et al,Fig2b_CMSX4_4,850,503,602,54.7356,35.2644,0.5,0.36355,62.358,27.775,-0.673,0.272166,1
Lukas et al,Fig2b_CMSX4_5,850,479,754,54.7356,35.2644,0.5,0.36355,62.358,27.775,-0.673,0.272166,1
Lukas et al,Fig2b_CMSX4_6,850,454,3008,54.7356,35.2644,0.5,0.36355,62.358,27.775,-0.673,0.272166,1
Lukas et al,Fig2b_CMSX4_7,850,455,4137,54.7356,35.2644,0.5,0.36355,62.358,27.775,-0.673,0.272166,1
leng et al- SX,A,800,760,175,1.5,44.2,0.45,0.36334,64.982,23.772,-0.9,0.416986,0.999388469
leng et al,B,800,760,125,7.8,40.4,0.45,0.36334,64.982,23.772,-0.9,0.443771,0.983374308
leng et al,C,800,760,85,14.7,30.3,0.45,0.36334,64.982,23.772,-0.9,0.482763,0.997334096
leng et al,D,1100,137,200,1.5,44.2,0.45,0.36611,54.119,39.056,-0.599,0.416986,0.999388469
leng et al,E,1100,137,225,7.8,40.4,0.45,0.36611,54.119,39.056,-0.599,0.443771,0.983374308
leng et al,F,1100,137,190,14.7,30.3,0.45,0.36611,54.119,39.056,-0.599,0.482763,0.997334096
